(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;24.02.2025;04:08;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;1;;;2171;0,004697;;-0,004697;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Verjüngungsforschung;17;2;304;0,000612;48496;0,104747;-99,373144;-0,104134;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;1;1873;0,003784;12672;0,027417;-85,219381;-0,023633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdH;18;2;14446;0,0291;47524;0,102647;-69,602727;-0,073547;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;1;2021;0,004083;6222;0,013462;-67,518483;-0,009379;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;Bündnis C;19;2;11784;0,023738;39868;0,086111;-70,44246;-0,062373;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;1;5784;0,011685;36748;0,079509;-84,260368;-0,067823;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BP;20;2;12315;0,024808;32790;0,070823;-62,442818;-0,046016;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;1;24208;0,048907;22535;0,048757;7,424007;0,00015;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MLPD;21;2;19876;0,040039;17820;0,038489;11,537598;0,001549;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;1;;;652;0,001411;;-0,001411;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MENSCHLICHE WELT;22;2;694;0,001398;3786;0,008177;-81,669308;-0,006779;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;1;1282;0,00259;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;PdF;23;2;21377;0,043062;3228;0,006972;562,236679;0,03609;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SGP;24;1;73;0,000147;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;SGP;24;2;425;0,000856;1399;0,003022;-69,621158;-0,002166;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BüSo;25;1;1303;0,002632;811;0,001755;60,665845;0,000878;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BüSo;25;2;719;0,001448;665;0,001436;8,120301;0,000012;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BÜNDNIS DEUTSCHLAND;26;1;88046;0,177877;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BÜNDNIS DEUTSCHLAND;26;2;79012;0,159163;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BSW;27;1;299226;0,604519;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BSW;27;2;2468670;4,972938;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MERA25;28;1;658;0,001329;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MERA25;28;2;7128;0,014359;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;WerteUnion;29;1;2844;0,005746;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;WerteUnion;29;2;6803;0,013704;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;30;1;70110;0,141642;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Übrige;1000;1;;;180546;0,390633;;-0,390633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Übrige;1000;2;;;249620;0,539155;;-0,539155;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wahlberechtigte;-4;;2262785;;2272717;;-0,43701;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wählende;-3;;1890250;83,536439;1776145;78,150733;6,424307;5,385705;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;1;13909;0,735829;16132;0,908259;-13,780064;-0,172431;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;2;10168;0,537918;13391;0,753936;-24,068404;-0,216018;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;1;1876341;99,264171;1760013;99,091741;6,609497;0,172431;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;2;1880082;99,462082;1762754;99,246064;6,655949;0,216018;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;1;424503;22,623979;530301;30,130516;-19,950556;-7,506537;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;2;352671;18,758278;494055;28,02745;-28,617057;-9,269173;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;1;573560;30,568004;465975;26,475657;23,088149;4,092348;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;2;518367;27,57151;388399;22,033647;33,462496;5,537863;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;1;279313;14,886047;315633;17,933561;-11,507035;-3,047514;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;2;279932;14,889351;322763;18,310156;-13,270108;-3,420805;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;1;67554;3,600305;167191;9,499418;-59,594715;-5,899113;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;2;88156;4,688944;220039;12,482683;-59,936193;-7,793739;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;1;302274;16,109758;113641;6,456827;165,990268;9,652931;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;2;306191;16,286045;119566;6,782909;156,085342;9,503136;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;1;115128;6,135772;55523;3,154693;107,351908;2,981079;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;2;146398;7,786788;64238;3,644184;127,899374;4,142604;;
